fbref_id,FPL Code,fpl_id,Name
2628fd2b,80201,1,Leno
8fa8f8d2,115918,2,Rúnarsson
8b9ebd03,47431,3,Willian
d5dd5f1f,54694,4,Aubameyang
839c14e1,58822,5,Cédric
9dbb75ca,59966,6,Lacazette
e61b8aee,84450,7,Xhaka
aa54ec6f,92371,8,Marí
f874dd44,98745,9,Bellerín
dc6f5bdd,101184,10,Chambers
3935e52e,111457,11,Kolasinac
47a34c4f,153256,12,Elneny
e3a5814e,154043,13,Maitland-Niles
d79a8c87,156074,14,Holding
529f49ab,167199,15,Partey
fce2302c,192895,16,Tierney
57e3f0c7,195735,17,Pépé
52611641,198849,18,Torreira
a3b03921,200089,19,Willock
a53649b7,205533,20,Nketiah
17695062,209289,21,Smith Rowe
bc7dc64d,223340,22,Saka
67ac5bb8,226597,23,Gabriel
963611,233963,24,Mavropanos
5ea8ef20,242166,25,Guendouzi
48a5a5d6,444145,26,Martinelli
972aeb2a,462424,27,Saliba
a8a3d139,79852,28,Steer
fcab00a0,85242,29,Hourihane
7956236f,98980,30,Martínez
4fdf1fd9,108156,31,Engels
c47541e0,110504,32,Traoré
b0b4fd3e,114283,33,Grealish
6e7f1353,122775,34,Sanson
90f91999,122806,35,McGinn
bf8fad51,123354,36,Hause
3ae14ed1,148508,37,Trézéguet
8397a50c,149484,38,Mings
e514ab62,169359,39,Targett
aed3a70f,178301,40,Watkins
de5b5570,184704,41,Nakamba
ffa90327,193488,42,El Ghazi
66b76d44,195546,43,Buendía
2389cdc2,199796,44,Cash
0313a347,199798,45,Konsa
5d8d7454,203368,46,Guilbert
bfae110f,213345,47,Wesley
dae8623e,217487,48,Samatta
9deaf2c8,221239,49,Davis
6f7d826d,230046,50,Douglas Luiz
1544f145,232653,51,Ramsey
be927d03,18892,52,Young
99813635,39155,53,Lallana
28300a16,49262,54,Steele
8aec0537,60307,55,Groß
7314bba4,61933,56,Duffy
fdd85f94,66242,57,Pröpper
b2d31e83,78916,58,Burn
282f75f3,83299,59,Dunk
bb5fbd2b,109345,60,March
c40b6180,110735,61,Webster
dad4b285,111478,62,Veltman
4bcf39f6,115382,63,Maupay
38ceb24a,116216,64,Trossard
4535e4bb,131897,65,Ryan
8452314,165210,66,Jahanbakhsh
35e413f1,198869,67,White
17370b95,209362,68,Bernardo
6a713852,215059,69,Sánchez
6c203af0,227127,70,Bissouma
f4e433d4,232792,71,Lamptey
27c01749,233425,72,Connolly
ad1f61f3,235382,73,Alzate
83d074ff,243016,74,Mac Allister
f230bc30,243505,75,Moder
172e52d8,61810,76,Jansson
df0a4c90,128295,77,Nørgaard
e09f279b,144485,78,Toney
3dcef539,154138,79,Fosu
98ea5115,154561,80,Raya
1137759d,174932,81,Canós
60344e4f,183656,82,Dasilva
8a3c1dc7,194010,83,Henry
8449d35e,204580,84,Janelt
f7b1d4e0,205836,85,Ghoddos
0f134faf,207283,86,Jensen
7aee4dd3,213687,87,Goode
82c215a0,216620,88,Forss
57c94db2,226956,89,Roerslev
